,area_of_operation,eng_organization,outcome_goal,size_peak
43,Philippines,Abu Sayyaf Group,establish Islamist state in the Philippines,2500.0
44,global,Palestine Liberation Organization (PLO)/Palestine Liberation Army,replace Israel with a Palestinian state; establish Palestinian state ,40000.0
45,Portugal,Carnation Revolution/Armed Forces Movement,replace Estado Novo regime with democratic state,10000.0
46,Pakistan,Muhajir Qami Movement (MQM)/Haqiqi Muhajir Qami Movement (MQM-H),establish autonomous Muhajir province in Pakistan; embolden democracy in Pakistan,3000.0
47,Middle East; Europe,Popular Front for the Liberation of Palestine (PFLP)/Arab Socialist Action Party (ASAP),replace Israel with Socialist-Palestinian state,2000.0
48,El Salvador,Popular Liberation Forces/Popular Revolutionary Bloc,establish communist state in El Salvador; establish leftist state,200.0
49,Cambodia,Red Khmers,establish communist state in Cambodia; preserve communist state; re-gain state,68000.0
50,El Salvador,Strike of Fallen Arms/National Reconstruction Committee,replace regime with democratic government ,30000.0
51,Algeria,Islamic Salvation Front,establish Islamist state in Algeria,10000.0
52,North Africa,al-Qaeda in the Islamic Maghreb (AQIM)/Salafi Group for Preaching and Fighting,establish Islamist state in Algeria; establish Islamist state in North Africa,1000.0
53,Pakistan; India,Army of the Pure,establish Islamist state in South Asia,10000.0
54,Western Europe,Red Army Faction,instigate communist revolution in Europe,150.0
55,Northern Ireland,Irish Republican Socialist Party (IRSP)/Irish National Liberation Army (INLA),establish Socialist-Irish state,200.0
56,Lebanon,Lebanese Forces (LF)/LF-Geagea,"preserve Maronite-dominated state, especially control over East Beirut and Mount Lebanon/reestablish Maronite-dominated",40000.0
57,Greece,Revolutionary Organization November 17 (17N),establish communist state in Greece,25.0
58,North America/Western Europe,Animal Liberation Front (ALF),establish maximalist animal rights in the developed world,10.0
59,Iraq,Supporters of the Sunna,reestablish the Islamic Caliphate,100.0
60,Southeast Asia; Sweden,Free Aceh Movement,establish independent state in Aceh,15000.0
61,Iran; Iraq; France,Holy Warriors of the Masses,establish communist-Kurdish state,25000.0
62,India,PWG,establish communist state; establish Maoist state,5000.0
63,Greece,Revolutionary People's Struggle,replace Greek regime with communist state,30.0
64,Pakistan/Kashmir,Party of Holy Warriors,precipitate the succession of Kashmir from India,10000.0
65,U.S.; Europe,Jewish Defense League (JDL),protect Jewish population from organized threats; free Soviet Jews,14000.0
66,India; South Asia,National Democratic Front of Bodoland (NDFB)/Bodoland Army/Bodo Security Force (BSF),establish Bodo state in Assam,3500.0
67,Iraq,Mahdi Army/Peace Companies,establish revolutionary Shi'a state; eliminate the Islamic State,60000.0
68,Colombia,United Self-Defense Forces of Colombia,defeat FARC and ELN,32500.0
69,North America; Western Europe,Earth Liberation Front (ELF),establish maximalist environmental laws in the developed world,10.0
70,Southeast Asia,Islamic Group,establish Islamist state in Southeast Asia,100.0
71,Lebanon,Lebanese Resistance Detachments,promote Shi'a populism in Lebanon (e.g. gain public goods for Shi'a population)/preserve populist gains,300000.0
72,Nigeria,Movement for the Emancipation of the Niger Delta (MEND),expel foreigners from the Niger Delta,20500.0
73,Belgium,Belgian Legion/Army of Belgium/Secret Army,expel Nazis from Belgium,54000.0
74,Spain,Free Land,establish independent communist-Catalonian state,100.0
75,Japan,Middle Core Faction,establish communist state in Japan,3000.0
76,Iraq,League of People of the Righteous,eliminate U.S. influence in Iraq; establish Shi'a state in Iraq,20000.0
77,Yemen; Saudi Arabia,al-Qaeda in the Arabian Peninsula (AQAP)/Supporters of Islamic Law,establish Islamist state in Arabia,4000.0
78,Germany; Middle East,Revolutionary Cells ,overthrow the capitalist system,300.0
79,Sierra Leone; Liberia,Revolutionary United Front (RUF),replace regime in Sierra Leone,10000.0
80,Pakistan,Balochi Liberation Army (BLA),establish independent Balochistan,1000.0
81,Russia,Riyad as-Saliheyn Martyrs' Brigade (RSMB),establish Islamist state in Caucasia,100.0
82,Central Asia; Russia,Caucasus Emirate,establish Islamist state in the Caucasia,5000.0
83,Pakistan; Kashmir,Jammu and Kashmir Liberation Front (JKLF),establish independent Kashmir,100.0
84,Philippines,People Power Revolution [bloc: United Opposition (UNIDO); Archdiocese of Manila; Partido Demokratiko Pilipino–Lakas ng Bayan; Partido Liberal ng Pilipinas; Catholic Bishops' Conference of the Philippines; Protestants],replace Marcos regime with democratic state,2000000.0
85,Yugoslavia,Kosovo Liberation Army (KLA),establish independent Kosovar state,20000.0
86,Chile,Manuel Rodriquez Patriotic Front/Manuel Rodriquez Patriotic Front-Dissidents,establish communist state in Chile,4000.0
87,Bulgaria,anti-government movement/Union of Democratic Forces,replace regime with liberal-democratic republic,70000.0
88,Pakistan,Army of Muhammad,replace Pakistan with a Deobandi state,500.0
89,Armenia; Lebanon; Nagorno-Karabakh; Europe; North America,Armenian Revolutionary Federation (ARF)/Dashnaktsutyun/Armenian Revolutionary Army (ARA)/Justice Commandos for the Armenian Genocide (JCAG),"represent/defend Armenians in Lebanon; coerce Turkey into ceding territory to Armenia;establish a ""United Armenia""; establish democratic Armenia",10000.0
90,Portugal,United Workers' Organization/Popular Forces April 25,establish communist state in Portugal,10.0
91,Mexico,23rd of September Communist League,replace PRI regime with anarcho-communist state,100.0
92,Greece; Chile,Conspiracy of Fire Cells (CFC),eliminate the capitalist system,20.0
93,Uruguay,National Liberation Movement-Tupamaros,replace Uruguayan regime with socialist state; establish socialist government,15000.0
94,Iraq,Islamic Army in Iraq (IAI)/Popular Movement in Iraq,establish Islamo-nationalist state,10400.0
95,Lebanon,Lebanese National Resistance Front (LNRF),defeat Israel and the SLA,100.0
96,Iraq; Turkey,Kurdistan Freedom Falcons ,establish independent Kurdistan,100.0
97,Sudan,Sudan People's Liberation Army/Movement (SPLA)/South Sudan Army,establish independent South Sudan,210000.0
98,Ireland/UK,Real Irish Republican Army (RIRA),unify Northern Ireland with Ireland,200.0
99,Guatemala,Armed Rebel Forces/Revolutionary Movement 13th November,replace Guatemalan regime with leftist government; establish leftist government in Guatemala,100.0
100,Turkey,Turkish People's Liberation Front (TPLF)/The Urgent Ones/The Syrian Resistance,establish leftist government in Turkey and Hatay; defeat rebels in Syria,100.0
101,South Asia,National Liberation Front of Tripura (NLFT),establish independent Christian-Tripuri state,1500.0
102,Turkey,Great Eastern Islamic Raiders Front ,reestablish the Islamic Caliphate,10.0
103,Mongolia,Ardchilsan Khuvĭsgal [bloc: Mongolian Democratic Union (MDU) precursor; Democratic Journalists' Union],establish democratic state in Mongolia,110000.0
104,Afghanistan,Islamic Party Gulbuddin,replace Afghan regime with Islamist state,6000.0
105,India,Dakshin Desh/Maoist Communist Center (MCC)/Maoist Communist Center of India (MCCI),establish Maoist state in India,100000.0
106,Thailand,Pattani United Liberation Organization (PULO),establish independent Pattani state,4000.0
107,Eritrea; Ethiopia,Eritrean Liberation Front/Eritrean Liberation Army/Humat al-Watan,establish independent Eritrean state,10000.0
108,France,Breton Revolutionary Army/Fight,establish independent Breton state,24.0
109,Lebanon,9 February Organization,expel Syrian forces from Lebanon,10.0
110,Iraq ,Partisans of Islam,establish Islamist state in Iraq; establish Islamist state in Iraq and the Levant,750.0
111,Turkey,Turkish Workers' and Peasants' Army,establish communist state in Turkey; establish Maoist state in Turkey,900.0
112,UK,Ulster Defence Association (UDA)/Ulster Freedom Fighters/Protestant Action Force (PAF)/Ulster Citizen Army (UCA),prevent republican succession,40000.0
113,Lebanon,Zgharta Liberation Army (ZLA)/The Giants Brigade,establish dominance over Christian community in Lebanon,8000.0
114,Pakistan; Kashmir; Afghanistan; Bangladesh,Islamic Jihad Movement,establish Islamist state across South Asia,600.0
115,Greece,Revolutionary Struggle/Popular Action,eliminate the capitalist system,30.0
116,UK,Red Hand Defenders (RHD),prevent republican succession,100.0
117,East Pakistan; Bangladesh,Purbo Banglar Communist Party (PBCP),establish Maoist state in Bangladesh,500.0
118,Honduras,Patriotic Morazanista Front,eliminate U.S. influence in Honduras,10.0
119,Nigeria,Group of the People of Sunnah for the Calling and Jihad/Islamic State West Africa Province,establish Islamist state in Nigeria,20000.0
120,Thailand,Unity,establish independent Pattani state,80.0
121,Ireland; UK,Continuity Irish Republican Army (CIRA)/The Irish Women's Council,precipitate the succession of Northern Ireland from the UK,2522.0
122,Egypt,Enough,establish democratic Egypt,5000.0
123,United States,Black Panthers,precipitate Black-socialist revolution in the U.S.,10000.0
124,Latin America,Popular Liberation Movement/Revolutionary People's Union,establish leftist government in Honduras,190.0
125,Turkey,Revolutionary People's Liberation Party-Front,establish communist state in Turkey,1000.0
126,Argentina; Italy; Bolivia,Che Guevara Brigade,establish communist state in Argentina,10.0
127,Bolivia,Tupac Katari Guerrilla Army,eliminate Western influence in Bolivia,100.0
128,Russia,Special Purpose Islamic Regiment (SPIR)/al-Jihad-Fi-Sabililah Special Islamic Regiment,establish independent Islamist-Chechen state,1020.0
129,Belgium,Communist Combatant Cells,instigate communist revolution in Europe,10.0
130,Angola,Front for the Liberation of the Enclave of Cabinda,establish independent Cabinda state,7000.0
131,Chile,Popular Unitary Action Movement-Lautaro Youth Movement,replace pro-Western regime with socialist state,100.0
132,Pakistan,Army of Islam,implement shari'a in the Khyber Agency,180000.0
133,North Africa,Popular Front for the Liberation of Saguia el-Hamra and Rio de Oro,establish independent Sahrawi state in Western Sahara; preserve defacto state,15000.0
134,Western Europe,Anti-Terrorist Liberation Group,eliminate ETA,10.0
135,Bangladesh,Awakened Muslim Masses of Bangladesh,establish Islamist state in Bangladesh,300000.0
136,Pakistan,Guardians of the Prophet's Companions,turn Pakistan into a Deobandi state,5500.0
137,global,Japanese Red Army (JRA)/United Red Army,precipitate global communist revolution,40.0
138,Lebanon,Sheik Subhi al-Salih Forces,expel Syrian forces from Lebanon,10.0
139,Italy,Informal Anarchist Federation,topple the international system,150.0
140,Thailand,Small Patrol Units,establish independent Islamist state in Pattani,3000.0
141,India,Zomi Revolutionary Organization (ZRO)/Zomi Revolutionary Army (ZRA),establish Zogam state,500.0
142,India,Gathering of Holy Warriors,unify Kashmir with Pakistan,1000.0
143,Indonesia; Papau New Guinea,Free Papua Movement,precipitate the succession of provinces from Indonesia,10000.0
144,India,Karbi Longri North Cachar Hills Liberation Front/Karbi Anlong North Cachar Hills People's Resistance (KNPR)/United People's Democratic Solidarity Anti-Talks,establish Karbi state,419.0
145,Eritrea,Eritrean People's Liberation Force (EPLF)/Eritrean People's Liberation Front (EPLF),establish independent Eritrean state,55000.0
146,Israel; disputed territories,Palestinian Revolution Forces General Command (PRFGC),establish Palestinian state,50.0
147,Lebanon,Front for the Liberation of Lebanon from Foreigners (FLLF),expel foreign forces from Lebanon,20.0
148,Lebanon; Syria,Popular Front for the Liberation of Palestine-General Command (PFLP-GC),replace Israel with a Palestinian state; defeat Sunni jihadis in Syria,500.0
149,Yemen,al-Qaeda in Yemen,establish Islamist state in Yemen,400.0
150,South Asia,All Tripura Tiger Force (ATTF)/All Tripura Tribal Force/Tripura People's Democratic Front (TPDF),expel foreigners from Tripura region in India,2000.0
151,Central Asia; Pakistan,Islamic Movement of Uzbekistan (IMU),establish Islamist state in Central Asia,2000.0
152,Iraq,Kurdistan Democratic Party (KDP)/Those Who Face Death,establish independent Kurdish state; preserve Kurdish autonomy,100000.0
153,Central Asia,Islamic Jihad Group (IJG)/Islamic Jihad Union (IJU),establish Islamist state in Central Asia,300.0
154,Disputed Territories,Islamic Swords of Justice in the Land of Ribat,establish shari'a in Palestinian areas,10.0
155,Lebanon; France; Iran ,Committee of Solidarity with Arab and Middle East Political Prisoners (CSAMPP),eliminate French influence in Lebanon,100.0
156,Disputed Territories,Fatah Hawks/Abu al-Rish Brigades,instigate uprising--force Fatah to fight Israel; replace Israel with Palestinian state,100.0
157,Morocco,The Good and Righteous Path,establish Islamist state in Morocco,100.0
158,Western Europe,New Armenian Resistance,coerce Turkey into ceding territory to Armenia,10.0
159,Lebanon; Syria,Lebanese Communist Party (LCP)/Syrian-Lebanese Communist Party/Popular Guard,establish communist state in Lebanon,9000.0
160,Lebanon,January 16th Organization,expel Syrian forces from Lebanon,10.0
161,South Asia,People's Liberation Army (PLA)/Revolutionary People's Front (RPF),establish independent Manipur state,3800.0
162,India,Babbar Khalsa International (BKI),establish independent Khalistan,100.0
163,Western Europe,(Celebratory Shriek),establish independent Basque state,10.0
164,"Ethiopia, Kenya; Somalia",Oromo Liberation Front (OLF),establish independent Oromo state; establish a democracy in Ethiopia,60000.0
165,Philippines,Alex Boncayao Brigade (ABB),establish communist state in the Philippines,500.0
166,UK,Orange Volunteers,prevent republican succession,30.0
167,Lebanon,Syrian Social-Nationalist Party (SSNP),establish social-nationalist state in Greater Syria,25000.0
168,Zimbabwe; Rhodesia; Namibia,Zimbabwe African Nationalist Union (ZANU)/Zimbabwe African National Liberation Front/ZANU Patriotic Front,replace Rhodesia with Zimbabwean state,23000.0
169,Uzbekistan,Andijan rights movement,increase rights for Andigan Muslims and free political prisoners,15000.0
170,Iraq; Iran,Badr Brigades/Badr Organization,overthrow Ba'athi regime in Iraq; eliminate Sunni influence in Iraq,15000.0
171,India,Indian Mujahedin,establish Islamist state in South Asia,2000.0
172,Colombia,People's Revolutionary Army,replace Colombian regime with leftist state,350.0
173,Greece,Black Star,topple the international system,10.0
174,"Lebanon, France",Lebanese Armed Revolutionary Faction (LARF)/Fractions Armées Révolutionnaires Libanaises,instigate communist revolution,50.0
175,Somalia; Ethiopia; Kenya,Islamic Courts Union,establish Islamist state in Somalia,1000.0
176,Lebanon,Lebanese Liberation Front,expel foreign forces from Lebanon,10.0
177,Levant; Pakistan; Afghanistan,Abdallah Azzam Shahid Brigade (AASB),reestablish the Islamic Caliphate,100.0
178,France,Charles Martel Group,end Algerian immigration into France,100.0
179,Greece,Arsons of Conscience,topple the international system,10.0
180,Middle East; Tunisia,Palestine Liberation Front (PLF),replace Israel with Palestinian state,300.0
181,Greece,Revolutionary Nuclei,topple the international system,10.0
182,Iraq,Holy Warriors Army,establish Islamist state in Iraq,100.0
183,Lebanon,Progressive Socialist Party (PSP),topple confessional system in Lebanon; expel Syrian forces from Lebanon; preserve power,18000.0
184,Lebanon; Syria; disputed territories; Europe,The Thunderbolt/Eagles of the Palestinian Revolution,replace Israel and Lebanon with a (Syrian) Ba'athi-Palestinian state,7000.0
185,Iraq,Patriotic Union of Kurdistan (PUK),establish Kurdish state; preserve Kurdish autonomy,800000.0
186,Lebanon,League of the Followers,establish Islamist state in Lebanon,1900.0
187,Pakistan; Afghanistan,Shadow Army/Army of the Protective Shield,replace the Afghan government,10000.0
188,South Asia,United National Liberation Front (UNLF)/Pan-Manipuri Youth League/Manipur People's Army (MPA),establish independent socialist-Manipur state,2500.0
189,Levant; Afghanistan,Army of the Levant,establish Islamist state in the Levant,500.0
190,Indonesia,anti-Suharto movement [bloc: Indonesian Democratic Party (PDI); student protestors],oust Suharto from power,10000.0
191,Iraq; Iran; Turkey,Party of Free Existence in Kurdistan,establish independent socialist-Kurdist state,3000.0
192,Iraq; Iran,Islamic Supreme Council of Iraq (ISCI),establish revolutionary Shi'a state in Iraq,10000.0
193,Lebanon,Beirut Martyrs Brigade,expel Syrian forces from Lebanon,10.0
194,United States,Croatian Freedom Fighters (CFF),establish Croatian state independent from Yugoslavia,10.0
195,Israel; disputed territories,Thus,eliminate Palestinian demographic threat,25907.0
196,India,al-Naserin,establish Islamist state in South Asia,10.0
197,France,Clandestine Corsi,end North African immigration into Corsica,50.0
198,Thailand,Pattani Holy Warriors Movement,establish Islamist-Pattani state,10.0
199,Pakistan; Afghanistan,Global Army of Jhangvi,reestablish the Islamic Caliphate,10.0
200,Norway,Military Organization,expel Nazis from Norway,40000.0
201,Philippines,Indigenous People's Federal Army (IPFA),divide the Philippines into religious cantons,10.0
202,South Africa,Boer Nation Warriors/National Warriors,prevent Black-South African enfranchisement,10.0
203,Yemen,Believing Youth/Supporters of Allah,establish Houthi state in Yemen,120000.0
204,India,United People's Democratic Solidarity (UPDS),establish Karbi state in India,150.0
205,Lebanon,Arab Socialist Renaissance Party,establish Ba'athi rule in Lebanon; preserve Ba'athi rule in Lebanon,3000.0
206,Gaza,Army of Islam,establish Islamist state in Gaza,300.0
207,Pakistan; Afghanistan,Holy Warriors Movement,establish Islamist state in Pakistan and unify Kashmir with Pakistan,3000.0
208,Iraq; Iran,Islamic Action [Iraq],topple Ba'athi regime in Iraq,10.0
209,Pakistan; Afghanistan,Movement for the Enforcement of Islamic Law,institute shari'a in Pakistan's tribal areas,25000.0
210,Pakistan; Afghanistan,Self-Sacrificers of Islam,institute shari'a in Pakistan and Aghanistan,50.0
211,Iraq,Soldiers of the Prophet's Companions,eliminate Shi'a presence in Iraq,10.0
212,Russia,Dagestan Province,establish independent Islamist-Dagestan,100.0
213,France,Corsican Patriotic Front,establish independent Corsican state,10.0
214,Greece,Khristos Kasimis,topple the international system,10.0
215,Greece,November's Children,precipitate communist revolution,10.0
216,Israel; disputed territories,Free Galilee,replace Israel with Palestinian state,10.0
217,Greece,Revolutionary Solidarity,topple the international system,10.0
218,Lebanon,Independent Nasserite Movement (INM),establish Nasserite state in Lebanon,7000.0
219,Greece,Revolutionary Liberation Action (RLA),topple the international system,10.0
220,Nepal,Nepal Defense Army (NDA),establish a Hindu state in Nepal ,20.0
221,Saudi Arabia,al-Qaeda in Arabia,reestablish the Islamic Caliphate,100.0
222,global,Repentance and Flight,reestablish the Islamic Caliphate,5000.0
223,Iraq,Supporters of Allah,expel the U.S. from Iraq,10.0
224,Bangladesh,Bangladesh Jamaat-e Islami/Islami Chhatra Shibir/Jamaat-e Islami Bangladesh,establish Islamist state in India; establish Islamist state in Pakistan; reunify Pakistan and establish Islamist state,4136461.0
225,Iraq; Lebanon; Kuwait,Islamic Calling Party,replace Iraqi regime with Shi'a state; preserve Shi'a state,500000.0
226,Israel; disputed territories; UK; Iraq ,Arab Liberation Front,replace Israel with an Arab-Ba'athi state,500.0
227,Iran,Arbav Martyrs of Khuzestan (AMK),establish Arab state in Khuzestan,10.0
228,Argentina ,Che Guevara Anti-Imperialist Command,eliminate Western influence in Argentina,10.0
229,Lebanon,Arab Democratic Party/Arab Red Knights/Pink Panthers,institute Alawi autonomy in Lebanon,1500.0
230,Disputed Territories,Supporters of the Sunna in Jerusalem,replace Israel with Islamist state,10.0
231,Russia,Dagestan Liberation Army,establish independent Dagestan,10.0
232,Iraq,1920 Revolution Brigade,expel foreign forces from Iraq,3000.0
233,Lebanon,Forces of the Holy Warrior Ranks,eliminate secular forces in Lebanon,10.0
234,Lebanon,al-Faruo Battalion,expel Syrian forces from Lebanon,10.0
235,Lebanon; Cyprus,Umar al-Mukhtar/National Revolutionary Command,eliminate Western influence in Lebanon,10.0
236,Lebanon,Guardians of the Cedars,expel foreigners and establish secular and democratic Lebanon,6000.0
237,Lebanon; Iraq; Pakistan; Italy,Iraqi Holy Warriors,establish Islamist state in Iraq,10.0
238,Lebanon,The Future Movement,preserve Lebanon's independence and democracy,1000000.0
239,Iraq,Iraq's Jihadi Leagues,establish Islamist state in Iraq,10.0
240,Afghanistan,Islamic Emirate of Afghanistan,replace regime in Afghanistan with shari'a state/maintain shari'a state,45000.0
241,Sweden,Global Intifada,overthrow the capitalist system,10.0
242,Iraq,Imam Hussein Brigades,establish revolutionary-Shi'a state in Iraq,10.0
243,Central Asia; Pakistan,Soldiers of the Caliphate,establish Islamist state in Central Asia,10.0
244,Greece,Anarchist Faction for Subversion,topple the international system,10.0
245,Lebanon,Lebanese Phalange,institute Falangist rule in Lebanon; establish Christian Lebanon; institute democratic Lebanon; preserve democratic Lebanon,65000.0
246,Lebanon,Black Hand,eliminate Western influence in Lebanon,10.0
247,Pakistan; Afghanistan,Convoy of Niamatullah,establish shari'a in Pakistan,3000.0
248,Kenya,anti-Moi movement [bloc: various ethnic-based parties; Gikuyu-Embu-Meru Association (GEMA); Green Belt Movement],oust Moi from power,5000.0
249,Iraq,Iraqi Kurdistan National Union (IKNU),expel Westerners from Kurdistan,10.0
250,Egypt,Islamic Glory Brigade in the Land of the Nile,establish Islamist state in Egypt,10.0
251,Lebanon; Iraq ,Martyr Abu Ja'afar Group,end Sunni dominance in the Middle East and replace it with a Shi'a empire,10.0
252,Lebanon,The Eradication of Evil,replace Lebanese government,10.0
253,Lebanon,Armed People,end Christian dominance in Lebanon,10.0
254,Lebanon; Israel; disputed territories,Palestinian Black Panther Group,eliminate Israeli collaborators,10.0
255,Lebanon,Youth of Ali,instigate Shi'a revolution in Lebanon,10.0
256,Lebanon,Tripoli Martyrs Battalion,expel Syrian forces from Lebanon,10.0
257,Lebanon; Egypt,Islamic Liberation Organization,reestablish the Islamic Caliphate,150.0
258,Lebanon,Revolutionary Action Organization of the Arab Resistance Front (RAOARF),regain body of Suleiman al-Halabi from France; deter immigration of Jews from U.S.S.R. to Israel,10.0
259,Lebanon; Belgium; Pakistan; Thailand; Denmark,Soldiers of Truth,eliminate Saudi and Western influence in Lebanon,10.0
260,Lebanon ,Lebanese Secret Army,expel Palestinians from Lebanon,10.0
261,Iraq,Islamic Jihad Brigades,establish Islamist state in Iraq,10.0
262,Iraq ,Iraqi National Congress,establish liberal-democratic Iraq,10000.0
263,Pakistan,Supporters of Islam,take over Afridi tribe; resist Tehrik-e Taliban dominance,2000.0
264,Libya,National Liberation Army,replace Qadaffi's regime with Islamo-nationalist state,17000.0
265,Indonesia,Group of the Partisans of Monotheism,establish shari'a law in Indonesia,2000.0
266,Iraq,Army of the Victorious Sect,establish Islamist state in Iraq,10.0
267,Pakistan; China; Central Asia,Turkestan Islamic Party/East Turkestan Islamic Movement (ETIM),establish independent East Turkestan,1000.0
268,Iraq,Jaish Rijal al-Tariqa al-Naqshbandia (JRTN)/Free Iraq Uprising Movement (FIUM)/Supreme Command for Jihad and Liberation (SCJL),establish Islamo-nationalist state in Iraq,5000.0
269,Iraq ,Holy Warriors in Iraq,establish Islamist state in Iraq,10.0
270,Angola,Front for the Liberation of the Enclave of Cabinda-Renewable,establish independent Cabinda state,250.0
271,Nicaragua,Andres Castro United Front ,institute communism in Nicaragua; receive benefits from the government,400.0
272,Nicaragua,Sandinista National Liberation Front,replace Nicaraguan regime with communist state; preserve socialist state; replace Nicaraguan regime with socialist state,735967.0
273,Chile,Popular Unitary Action Movement,replace Chilean regime with communist state,500.0
274,Japan; Russia,Supreme Truth,precipitate the apocalypse,45000.0
275,Iraq,Party of Allah Brigade,establish revolutionary Shi'a state in Iraq,2000.0
276,Greece,Sect of Revolutionaries,topple the international system,10.0
277,Iraq,Hamas of Iraq,defeat foreign jihadis in Sunni areas,10.0
278,Turkey,Kurdish Hezbollah/Turkish Hezbollah/Union Movement/Movement of the Oppressed/Free Cause Party,defeat PKK; establish Sunni theocracy; promote Islamism in Turkey,120000.0
279,Eritrea; Ethiopia; Sudan,Eritrean Islamic Jihad Movement (EIJM),replace regime with Islamist state,1000.0
