,revmodid,revmodcode,organization,english_translation,popular_alternative_name_or_acronym_most_recent,born,died,dead,age,duration,outcome_goal,adversary,achieve,partialsuccess,completesuccess,orderedsuccess,polcommand,nopolorgplus01,polorgplus,leader_s,leadershipdecapitation,killed,arrested,executed,separate,overthrow_takeover,empire,counterrev,reform,eliminate_expel,nsd,islamist,leftist,right,anarchist,identity_group_representation,excludedconstituentsatinception,size_year_one,size_peak,hegemonic,unifiedfront,area_of_operation,adversary.1,violent,nv,mixedapproach,as,ks,lethal,demonl,demonc,turnedviolent,ties,tiefights,sponsors,sponsorfights,west,latinamerica,mideastnafrica,africa,centraleurasia,southasia,seasia,eastasia,state,polity_year_one,polity_peak,dem_year_one,dem,autocracy,gdp_year_one,gdp,transition_to_democratic_party_politics,transitioned_from_organized_crime_to_resistance,transitioned_to_organized_crime,drugtrade,terrorism,foughtincivilwar,enteredpostcoldwar,lost_state_sponsorship,safe_haven,participates_in_negotiations,sas,sa,splinter_organization,ethnic,religious_sectarian,national,ideological,apocalyptic,fights_foreign_force
10,12,12L,May 15 Organization for the Liberation of Palestine,May 15 Organization for the Liberation of Palestine,,1979,1984,1,5.0,5,ELIMINATE INTERNATIONAL SUPPORT FOR ISRAEL/ELIMINATE ISRAEL,"ISRAEL, U.S., THE WEST, IRAN",0,0,0,0,0,1,0,"HUSSEIN MUHAMMAD AL-UMARI (AKA ""THE BOMB MAN"",  ABU IBRAHIM)",0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,Palestinians,1.0,70.0,70.0,0,0,"MIDDLE EAST, EUROPE",Israel; U.S.; the West; Iran,1,0,0,6,3,0.5,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,19.0,19,1,1.0,0.0,4625.0,6683.0,0.0,0,0,0.0,1,0,0,1.0,0,0,0,0,1,0,0,1,0,0,1
11,13,13M,Kommando Hau Weg die Scheisse,Get Rid of the Shit Command,,1986,1986,1,0.1,0,ELIMINATE WEST GERMANY'S CAPITALIST SYSTEM,WEST GERMANY,0,0,0,0,0,1,0,NO IDENTIFIABLE LEADER,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,Anti-Capitalist West Germans,1.0,10.0,10.0,0,0,WEST GERMANY,capitalists,1,0,0,1,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,20,1,1.0,0.0,13420.0,13420.0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
12,14,14N,8-8-88 Uprising/National League for Democracy (NLD),8-8-88 Uprising/National League for Democracy (NLD),NLD,1988,0,0,26.0,23,REPLACE BURMA SOCIALIST PROGRAM PARTY (BSPP) REGIME WITH MULTI-PARTY SYSTEM,MYANMAR,10,1,0,1,18,0,1,AUNG SAN SUU KYI,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,Anti-BSPP Burmese,1.0,1000000.0,12000000.0,1,0,BURMA,Myanmar,0,1,0,0,0,0.0,10.0,9,1,1,0,1,0,1,0,0,0,0,0,1,0,1,4.0,4,0,0.0,1.0,111.0,1107.0,1.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
13,15,15O,Communist Party of India-Maoists (CPI-M)/People's Liberation Guerrila Army (PLGA),Communist Party of India-Maoists (CPI-M)/People's Liberation Guerrila Army (PLGA),CPI-M,2004,0,0,10.0,10,ESTABLISH MAOIST STATE,INDIA,8,0,0,0,16,0,1,MUPPALA LAKSHMAN RAO (ALIAS GANAPATHI) ,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,1,0,0,Maoist Indians,1.0,1000.0,50000.0,1,0,INDIA,India,1,0,0,1418,1877,1.323695,0.0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,1,19.0,19,1,1.0,0.0,641.0,1489.0,0.0,0,1,1.0,1,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0
14,16,16P,Harakat at-Tahrir al-Watani al-Filastini (FATAH)/Force 17/Tanzim/al-Aqsa Martyrs' Brigade/al-Asifa/Martyrs of Issam Sartawi,Palestinian National Liberation Movement,Fatah,1958,0,0,56.0,56,REPLACE ISRAEL WITH PALESTINIAN STATE; ESTABLISH PALESTINIAN STATE,"ISRAEL, ANO, JUND AL-SHAM, HAMAS",10,1,0,1,18,0,1,"YASSER ARAFAT, ABU IYAD, MAHMOUD ABBAS",0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,0,0,0,Palestinians,1.0,500.0,501448.0,1,0,ISRAEL/DISPUTED TERRITORIES/MIDDLE EAST,Israel; ANO; Jund al-Sham; Hamas,0,0,1,717,939,1.309623,0.0,0,0,17,1,6,0,0,0,1,0,0,0,0,0,1,20.0,20,1,1.0,0.0,4109.0,31282.0,1.0,0,1,0.0,1,0,1,1.0,3,1,62,1,0,0,0,1,0,0,0
15,17,17Q,African National Congress (ANC)/Umkhonto we Sizwe (MK)/South African Native National Congress (SANNC),African National Congress (ANC)/Umkhonto we Sizwe (MK)/South African Native National Congress (SANNC),ANC,1912,0,0,102.0,33,REPLACE SOUTH AFRICAN REGIME; MAINTAIN CONTROL OF SOUTH AFRICAN GOVERNMENT,"SOUTH AFRICA, AZAPO",20,1,1,2,20,0,1,"NELSON MANDELA, OLIVER REGINALD TAMBO, CHRIS HANI ",1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Black South Africans,1.0,10000.0,13000.0,1,0,SOUTH AFRICA,South Africa; AZAPO,0,0,1,768,638,0.8307292,2.0,2,0,3,0,9,0,0,0,0,1,0,0,0,0,1,14.0,19,0,1.0,0.0,2535.0,3557.0,0.0,0,1,0.0,1,1,1,1.0,2,1,0,0,0,1,0,0,0,0,0
16,18,18R,Fronte di Liberazione Naziunale Corsu (FLNC)/Conculta Naziunalista,Corsican National Liberation Front,FLNC,1976,2014,1,38.0,38,ESTABLISH INDEPENDENT CORSICAN STATE,FRANCE,0,0,0,0,8,1,0,"JEAN PAUL ROESCH, JEAN MICHEL ROSSI, FRANÇOIS SANTONI, CHARLES PIERI",1.0,0.0,1.0,0.0,1,0,0,0,0,0,1,0,0,0,0,Corsicans,1.0,200.0,200.0,1,0,FRANCE,France,0,0,1,686,17,0.0247813,0.0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,18.0,19,1,1.0,0.0,6846.0,44117.0,0.0,0,1,0.0,1,0,1,,0,1,0,0,0,1,0,0,0,0,0
17,19,19S,Movimiento 19 de Abril (M-19)/Movimiento 19 de Abril Coordinadora Nacional de Bases (M-19 CNB)/Batallion America (BA),April 19th Movement,M-19,1970,1991,1,21.0,20,REPLACE COLOMBIAN REGIME WITH SOCIALIST STATE; ESTABLISH LEFTIST GOVERNMENT IN COLOMBIA,COLOMBIA,10,1,0,1,8,1,0,"CARLOS FRANCISCO TOLEDO PLATA, CARLOS PIZARRO LEON-GOMEZ, JAIME BATEMAN CAYON, IVAN MARINO OSPINA, ALVARA FAYAD DELGADO,   ",1.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Leftist Colombians,1.0,2000.0,2000.0,0,0,LATIN AMERICA,Colombia,0,0,1,564,1402,2.485816,0.0,0,0,12,0,4,0,0,1,0,0,0,0,0,0,1,17.0,18,1,1.0,0.0,326.0,1387.0,1.0,1,0,0.0,1,1,0,1.0,0,1,0,0,0,0,0,0,1,0,0
18,20,20T,Movimiento Revolucionario Túpac Amaru (MRTA),Túpac Amaru Revolutionary Movement,MRTA,1982,1997,1,15.0,15,ESTABLISH SOCIALIST STATE IN PERU,PERU,0,0,0,0,2,1,0,"ERNESTO MONTES ALIAGA, VICTOR POLAY CAMPOS (COMRADE ""ROLANDO""), NESTOR CERPA CARTOLINI (COMRADE ""EVARISTO"") ",1.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Socialist Peruvians,1.0,10.0,2000.0,0,0,PERU,Peru,1,0,0,561,560,0.9982175,0.0,0,0,3,0,3,0,0,1,0,1,0,0,0,0,1,17.0,18,1,1.0,0.0,1164.0,2401.0,0.0,1,0,1.0,1,1,1,1.0,0,1,0,0,0,0,0,0,1,0,0
19,21,21U,União Nacional para a Independêcia Total de Angola (UNITA)/Forças Armadas de Libertação de Angola (FALA)/Free Angola,National Union for the Total Independence of Angola,UNITA,1966,0,0,48.0,36,ESTABLISH POPULIST STATE IN ANGOLA,"PORTUGAL, ANGOLA/MPLA",12,1,0,1,12,0,1,"JONAS SAVIMBI, ANTONIO DEMBO, PAULO LUKAMBA (AKA ""GATO"")",1.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Populist Angolans,1.0,500.0,65000.0,1,1,ANGOLA,Portugal; Angola/MPLA,0,0,1,421,871,2.068884,0.0,0,0,2,0,9,1,0,0,0,1,0,0,0,0,1,1.0,7,0,0.0,1.0,575.0,768.0,1.0,0,1,1.0,1,1,1,1.0,0,1,0,0,0,0,0,0,1,0,1
20,22,22V,Communist Party of Nepal-Maoists (CPN-M)/Unified Communist Party of Nepal-Maoist (UCPN-M)/All Nepal National Independent Students' Union-Revolutionary (ANNISU-R)/Communist Party of Nepal (Unity Centre),Communist Party of Nepal-Maoists (CPN-M)/Unified Communist Party of Nepal-Maoist (UCPN-M)/All Nepal National Independent Students' Union-Revolutionary (ANNISU-R)/Communist Party of Nepal (Unity Centre),CPM-N,1994,0,0,20.0,10,ESTABLISH MAOIST STATE IN NEPAL,NEPAL,14,1,0,1,16,0,1,"PUSHPAN KAMAL DAHAL (AKA ""PRACHANDA"")",0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Maoist Nepalese,1.0,140000.0,229500.0,1,0,NEPAL,Nepal,0,0,1,23,654,28.43478,10.0,3,1,3,0,0,0,0,0,0,0,0,0,1,0,1,15.0,16,0,1.0,1.0,206.0,438.0,0.0,0,0,0.0,1,1,1,0.0,0,1,0,0,1,0,0,0,1,0,0
21,23,23W,Hezbollah/Islamic Jihad Organization/Islamic Resistance Front/Ansar Allah/Islamic Jihad for the Liberation of Palestine (IJLP)/Mikdad,Party of Allah,Hezbollah,1982,0,0,32.0,32,ESTABLISH ISLAMIST STATE IN LEBANON,"KATAEB, FUTURE MOVEMENT, ISRAEL, U.S., FRANCE, ASBAT AL-ANSAR, JUND AL-SHAM",12,1,0,1,16,0,1,"SUBHI AL-TUFAYLI, ABBAS MUSSAWI, SAYYED HASSAN NASRALLAH ",1.0,1.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,Shi'a Islamists,1.0,2000.0,100000.0,0,0,GLOBAL,Kataeb; Future Movement; Israel; U.S.; France; Asbat al-Ansar; Jund al-Sham,0,0,1,777,1398,1.799228,0.0,0,0,22,1,2,1,0,0,1,0,0,0,0,0,1,19.0,20,1,1.0,0.0,6096.0,31282.0,1.0,1,1,1.0,1,1,1,0.0,0,1,32,1,0,0,1,0,0,1,0
22,24,24X,Friedliche Revolution [bloc: Neues Forum; Demokratischer Aufbruch; Demokratie Jetzt; Protestant churches],Peaceful Revolution,,1989,1990,1,0.2,0,OVERTHROW COMMUNIST REGIME AND UNIFY EAST GERMANY WITH THE DEMOCRATIC GOVERNMENT OF WEST GERMANY,EAST GERMANY,18,1,1,2,10,0,1,"BÄRBEL BOHLEY, ROBERT HAVERMANN, RAINER EPPELMAN",1.0,0.0,1.0,0.0,0,1,0,0,0,0,1,0,0,0,0,Pro-Democracy East Germans,1.0,70000.0,70000.0,1,1,EAST GERMANY,East Germany,0,1,0,0,0,0.0,6.0,2,0,0,0,3,1,1,0,0,0,0,0,0,0,1,1.0,1,0,0.0,1.0,,,1.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0
23,25,25Y,Lijan al-Muqawama al-Sha'biyye/an-Nasser Salah ad-Din Battalions,Popular Resistance Committees (PRC),PRC,2000,0,0,14.0,14,REPLACE ISRAEL WITH ISLAMIST STATE,ISRAEL,2,0,0,0,2,1,0,"JAMAL ABU SAMHADANA, AMIR QARMOOT ABU AS-SA'ID, KAMAL AL-NIRAB, ZUHAIR AL-QAISI, AYMAN AL-SHASHNIYA",1.0,1.0,0.0,0.0,0,1,0,0,0,0,1,1,0,0,0,Islamist Palestinians,1.0,500.0,500.0,0,0,DISPUTED TERRITORIES,Israel,1,0,0,336,30,0.0892857,0.0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,1,19.0,20,1,1.0,0.0,20902.0,31282.0,0.0,0,0,0.0,1,0,1,0.0,0,0,4,1,1,0,1,0,0,0,0
24,26,26Z,Corelli Street 6 (CS6),Corelli Street 6 (CS6),CS6,1940,1945,1,5.0,5,EXPEL THE GERMANS FROM THE NETHERLANDS,"GERMANY, PRO-NAZI DUTCH",0,0,0,0,0,1,0,"GIDEON BOISSEVAIN, JAN KAREL ('JANKA') BOISSEVAIN, GERRIT KASTEIN",1.0,1.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,anti-Nazi Dutch,1.0,40.0,40.0,0,0,NETHERLANDS,Germany; pro-Nazi Dutch,1,0,0,50,20,0.4,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,1,0,,,,,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,1
25,27,27AA,Movimiento de Izquierda Revolucionaria (MIR)/Juntos Podemos Más (JPM)/Commandos of the People's Resistance/Commando Salvador Allende/Comando de Resistancie Popular Javier Carrera/FM-7,Movement of the Revolutionary Left,MIR,1965,0,0,49.0,29,REPLACE PRO-WESTERN REGIME IN CHILE WITH LEFTIST STATE,CHILE,4,0,0,0,4,1,0,"MIGUEL ENRÍQUEZ, ANDRÉS PASCALE ALLENDE, HERNÁN AGUILÓ, JECAR NEGHME CRISTI ",1.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Leftist Chileans,1.0,100.0,10000.0,1,0,CHILE,Chile,0,0,1,306,50,0.1633987,0.0,0,0,2,0,5,0,0,1,0,0,0,0,0,0,1,5.0,18,0,1.0,0.0,703.0,3883.0,1.0,0,1,0.0,1,0,1,1.0,0,0,0,0,1,0,0,0,1,0,0
26,28,28AB,"Ejercito Popular de Liberacion (EPL)/Esperanza, Paz, y Libertad",Popular Liberation Army,EPL,1967,0,0,47.0,24,ESTABLISH MAOIST GOVERNMENT IN COLOMBIA; ESTABLISH LEFTIST GOVERNMENT IN COLOMBIA,"COLOMBIA, FARC, ACCU",6,0,0,0,4,1,0,"PEDRO LEON ARBOLEDA, FRANCISO CARABALLO, JAIRO CALVO (AKA ERNESTO ROJAS)",1.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Leftist Colombians,1.0,500.0,3000.0,0,0,COLOMBIA,Colombia; FARC; ACCU,0,0,1,261,598,2.291188,0.0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,17.0,19,1,1.0,0.0,282.0,6240.0,1.0,0,1,1.0,1,1,1,0.0,0,1,0,0,1,0,0,0,1,0,0
27,29,29AC,Ulster Volunteer Force (UVF),Ulster Volunteer Force (UVF),UVF,1966,0,0,48.0,44,PREVENT REPUBLICAN SUCCESSION,IRA ORGS,18,1,1,2,12,0,1,GUSTY SPENCE,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,Irish Protestants,0.0,20.0,1500.0,0,0,NORTHERN IRELAND/UK,IRA orgs,1,0,0,263,404,1.536122,0.0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,1,1,1,0.0,0,0,0,0,0,0,1,0,0,0,0
28,30,30AD,al-Gama'a al-Islamiyya (GI)/Hezb al-Benaa wal-Tanmia,The Islamic Group,GI,1973,0,0,41.0,40,REPLACE EGYPT WITH ISLAMIST STATE; PRESERVE ISLAMIST STATE,EGYPT,4,0,0,0,10,0,1,"KARIM ZUHDI, OMAR ABDEL-RAHMAN, RIFAIE AHMED TAHA, MUSTAFA HAMZA, MOHAMMAD HASAN KHALIL AL-HAKIM ",1.0,0.0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,0,Islamist Egyptians,1.0,2000.0,6700.0,0,0,"EGYPT, CROATIA",Egypt,0,0,1,260,495,1.903846,0.0,0,0,5,1,1,0,0,0,1,0,0,0,0,0,1,3.0,7,0,0.0,1.0,260.0,2698.0,1.0,0,0,0.0,1,0,1,1.0,0,0,1,1,1,0,1,0,0,0,0
29,31,31AE,Devrimci Sol/Halk Der,Revolutionary Left,DEV-SOL,1978,1994,1,16.0,16,ESTABLISH COMMUNIST STATE IN TURKEY,TURKEY,0,0,0,0,2,1,0,"DURSUN KARATAŞ, BEDRI YAGAN",1.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,Communist Turks,1.0,200.0,300.0,1,0,TURKEY,Turkey,1,0,0,253,126,0.4980237,0.0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,1,19.0,19,1,1.0,0.0,1553.0,3168.0,0.0,0,1,0.0,1,0,1,1.0,0,0,0,0,1,0,0,0,1,0,0
30,32,32AF,al-Jabha al-Dimuqratiye li-Tahrir Filastin/Popular Democratic Front for the Liberation of Palestine (PDFLP),Democratic Front for the Liberation of Palestine (DFLP),DFLP,1969,0,0,45.0,45,REPLACE ISRAEL WITH SOCIALIST-PALESTINIAN STATE,ISRAEL,6,0,0,0,8,1,0,"NAYEF HAWATMEH, YASSER ABED RABBU, QAIS SAMARAL, ABDUL KARIM",0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,1,0,0,Socialist Palestinians,1.0,100.0,1100.0,0,0,ISRAEL/DISPUTED TERRITORIES,Israel,0,0,1,249,68,0.2730924,0.0,0,0,7,1,4,0,0,0,1,0,0,0,0,0,1,19.0,20,1,1.0,0.0,1588.0,31282.0,1.0,0,0,0.0,1,0,1,1.0,1,1,2,1,1,0,0,0,1,0,0
